Name,Category,Action
Acerola,Fruit,DNA Protection;Immunity
Almond Butter,Sweets,DNA Protection
Almonds,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Aged Garlic,Vegetables,Immunity
Anchovies,Vegetables,Angiogenesis;Regeneration;DNA Protection
Apple peel,Fruit,Angiogenesis;Regeneration;Immunity
Apples,Fruit,Angiogenesis;Regeneration;Immunity
Apricots,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Asparagus,Vegetables,Angiogenesis;Microbiome
Arctic char,Seafood,Angiogenesis;Regeneration;DNA Protection
Arugula,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Bamboo shoots,Legumes;Nuts;Beans,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Barley,Grains;Seeds;Flours,Angiogenesis;Regeneration;Immunity
Basil,Herbs;Spices,DNA Protection
Beer,Beverages;Soups,Angiogenesis;Regeneration
Belgian endive,Vegetables,Angiogenesis;Regeneration;Immunity
Bigeye tuna,Seafood,Angiogenesis;Regeneration;DNA Protection
Bitter melon,Fruit,Regeneration
Black bass,Seafood,Angiogenesis;Regeneration;DNA Protection
Black beans,Legumes;Nuts;Beans,Angiogenesis;Regeneration;Microbiome
Black plums,Fruit,Angiogenesis;Immunity
Black raspberries,Fruit,Angiogenesis;Regeneration;Immunity
Black tea,Beverages;Soups,Angiogenesis;Microbiome;DNA Protection;Immunity
Blackberries,Fruit,Angiogenesis;Immunity
Blueberries,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection
Blueberries(dried),Fruit,Angiogenesis;Regeneration;Immunity
Bluefin tuna,Seafood,Angiogenesis;Regeneration;DNA Protection
Bluefish,Seafood,Angiogenesis;Regeneration;DNA Protection
Bok Choy,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Bottarga,Seafood,Angiogenesis;Regeneration;DNA Protection
Brazil nuts,Legumes;Nuts;Beans,DNA Protection
Broccoli,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Broccoli rabe,Vegetables,Angiogenesis;DNA Protection;Immunity
Broccoli sprouts,Vegetables,DNA Protection;Immunity
Cabbage,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Camembert cheese,Dairy,Angiogenesis;Microbiome
Camu camu,Fruit,DNA Protection;Immunity
Capers,Vegetables,Angiogenesis;Regeneration;Immunity
Carrots,Vegetables,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Cashews,Legumes;Nuts;Beans,Angiogenesis;DNA Protection
Cauliflower,Vegetables,Angiogenesis;Microbiome;DNA Protection;Immunity
Caviar (sturgeon),Seafood,Angiogenesis;Regeneration;DNA Protection
Cherries,Fruit,Angiogenesis;Regeneration;Microbiome;DNA Protection;Immunity
Cherries (dried),Fruit,Angiogenesis;Regeneration;Immunity
Cherry tomatoes,Fruit,Angiogenesis;DNA Protection;Immunity
Chestnuts,Legumes;Nuts;Beans,Angiogenesis;Regeneration;DNA Protection
Chamomile tea,Beverages;Soups,Angiogenesis;Microbiome;DNA Protection;Immunity
Chanterelle mushrooms,Legumes;Nuts;Beans,Microbiome;Immunity
Chia seeds,Herbs;Spices,Angiogenesis;Regeneration;Microbiome;Immunity
Chicken (dark meat),Meats,Angiogenesis
Chickpeas,Legumes;Nuts;Beans,Microbiome
Chile peppers,Vegetables,Angiogenesis;Regeneration;Microbiome;Immunity
