Acerola,Fruit,"DNA Protection, Immunity"
Almond Butter,Sweets,DNA Protection
Almonds,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, DNA Protection"
Aged Garlic,Vegetables,Immunity
Anchovies,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Apple peel,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Apples,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Apricots,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Asparagus,Vegetables,"Angiogenesis Stimulating, Microbiome"
Arctic char,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Arugula,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Bamboo shoots,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Barley,"Grains, Seeds, Flours","Angiogenesis Antiangiogenic, Angiogenesis Stimulating,Regeneration, Immunity"
Basil,Herbs and Spices,DNA Protection
Beer,"Beverages, Soups","Angiogenesis Antiangiogenic, Regeneration"
Belgian endive,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Bigeye tuna,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bitter melon,Fruit,Regeneration
Black bass,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Black beans,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, Regeneration, Microbiome"
Black plums,Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Immunity"
Black raspberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Immunity"
Black tea,"Beverages, Soups","Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Blackberries,Fruit,"Angiogenesis Antiangiogenic, Immunity"
Blueberries,Fruit,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection"
Blueberries (dried),Fruit,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Bluefin tuna,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bluefish,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Bok Choy,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Bottarga,Seafood,"Angiogenesis Antiangiogenic, Regeneration, DNA Protection"
Brazil nuts,"Legumes, Nuts,  Beans",DNA Protection
Broccoli,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Broccoli rabe,Vegetables,"Angiogenesis Antiangiogenic, DNA Protection, Immunity"
Broccoli sprouts,Vegetables,"DNA Protection, Immunity"
Cabbage,Vegetables,"Angiogenesis Antiangiogenic, Microbiome, DNA Protection, Immunity"
Camembert cheese,Dairy,"Angiogenesis Antiangiogenic, Microbiome"
Camu camu,Fruit,"DNA Protection, Immunity"
Capers,Vegetables,"Angiogenesis Antiangiogenic, Angiogenesis Stimulating, Regeneration, Immunity"
Carrots,Vegetables,"Angiogenesis Antiangiogenic, Regeneration, Microbiome, DNA Protection, Immunity"
Cashews,"Legumes, Nuts,  Beans","Angiogenesis Antiangiogenic, DNA Protection"
